Driver Analysis,,Driver,Code,Source
Leading Indicators Surveys,,PMI Manufacturing Index,PMI Manufacturing Index (BusinessNZ),https://www.businessnz.org.nz/__data/assets/excel_doc/0003/73875/PMI-Time-Series-Data.xls
,,PSI Services Index,PSI Manufacturing Index (BusinessNZ),https://www.businessnz.org.nz/__data/assets/excel_doc/0008/73916/PSI-Time-Series-Data.xls
,,Consumer Sentiment Index,Consumer Confidence Indicator (SNB),https://www.quandl.com/api/v3/datasets/SNB/CONCON.xml?api_key=API_KEY
,,Building Permits,Building Permits,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=PRCNTO01CHQ661N&scale=left&cosd=1999-01-01&coed=2019-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Quarterly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1999-01-01
Money Supply,,Broad Money M2,M2 Broad Money (current LCU),https://www.rbnz.govt.nz/-/media/ReserveBank/Files/Statistics/tables/c50/hC50.xlsx?revision=a8d0470b-6e63-416a-bbe9-f670b8d19518
Interest Rates,,Interest Rates %,Bank interest rate Decision - QUANDL,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=IRSTCI01NZM156N&scale=left&cosd=1985-01-01&coed=2019-07-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1985-01-01
Inflation,,Consumer and Business Inflation,CPI (Inflation Rates),https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=NZLCPIALLQINMEI&scale=left&cosd=1960-01-01&coed=2019-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Quarterly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1960-01-01
,,Consumer and Business Inflation,PPI (Services),https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=PIEAMP01NZQ661N&scale=left&cosd=1960-01-01&coed=2019-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Quarterly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1960-01-01
Employment,,Employment,Total Labor Force (OECD),https://www.quandl.com/api/v3/datasets/SNB/AMARBMA.xml?api_key=API_KEY
Balance Sheets and Sovereign Risk,,Central Government Debt to GDP Ratio % (IMF),,https://www.quandl.com/api/v3/datasets/ODA/NZL_GGXWDG_NGDP.xml?api_key=API_KEY
,,Central Government Revenue,Central Government Revenue as % of GDP (IMF),https://www.quandl.com/api/v3/datasets/ODA/NZL_GGR_NGDP.xml?api_key=API_KEY
,,Central Government Revenue,Central Government Revenue in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/NZL_GGR.xml?api_key=API_KEY
,,Central Government Expenditures,Central Government Expenditures as % of GDP (IMF),https://www.quandl.com/api/v3/datasets/ODA/NZL_GGX_NGDP.xml?api_key=API_KEY
,,Central Government Expenditures,Central Government Expenditures in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/NZL_GGX.xml?api_key=API_KEY
,,Interest / GDP,Interest Payments As % of Revenue (World Bank),https://www.quandl.com/api/v3/datasets/WWDI/NZL_GC_XPN_INTP_RV_ZS.xml?api_key=API_KEY
,,Government Bonds Benchmarks,Government 10Y Bond Monthly (Bank Of England QUANDL),https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=IRLTLT01NZM156N&scale=left&cosd=1970-01-01&coed=2019-05-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Monthly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1970-01-01
,,Central Bank Balance Sheet (BOC),Bank of Switzerland Central Bank Balance Sheet,https://www.rbnz.govt.nz/-/media/ReserveBank/Files/Statistics/tables/f5/hf5.xlsx?revision=bee9279f-1a7d-463f-a239-b9d5cbcaa2d6
,,COT Report,Cot Report - NZD FX,"https://www.quandl.com/api/v3/datasets/CFTC/112741_F_ALL.xml?api_key=API_KEY
"
,,Balance of Payments (Deutsche Bundesbank),Balance Of Payments ,https://www.quandl.com/api/v3/datasets/SNB/BOPOVERQ.xml?api_key=API_KEY
Stock Market Data,,Stock Market Index,"Stock Market (Quandl, Wiki Continuous Futures)",https://www.quandl.com/api/v3/datasets/CHRIS/EUREX_FSMI1.xml?api_key=API_KEY
GDP Growth,,Real GDP,GDP Growth Annualised in USD (IMF),https://www.quandl.com/api/v3/datasets/ODA/CHE_NGDPD.xml?api_key=API_KEY
,,Real GDP,GDP Growth (Quarterly) (Current LCU) FRED ,https://fred.stlouisfed.org/graph/fredgraph.csv?bgcolor=%23e1e9f0&chart_type=line&drp=0&fo=open%20sans&graph_bgcolor=%23ffffff&height=450&mode=fred&recession_bars=off&txtcolor=%23444444&ts=12&tts=12&width=1168&nt=0&thu=0&trc=0&show_legend=yes&show_axis_titles=yes&show_tooltip=yes&id=CLVMNACSAB1GQCH&scale=left&cosd=1980-01-01&coed=2019-01-01&line_color=%234572a7&link_values=false&line_style=solid&mark_type=none&mw=3&lw=2&ost=-99999&oet=99999&mma=0&fml=a&fq=Quarterly&fam=avg&fgst=lin&fgsnd=2009-06-01&line_index=1&transformation=lin&vintage_date=2019-12-28&revision_date=2019-12-28&nd=1980-01-01
,,Real GDP,GDP Growth Annualised (Constant LCU) IMF,"https://www.quandl.com/api/v3/datasets/ODA/CHE_NGDPD.xml?api_key=API_KEY
"